beta  ances 
0.198 0.376
0.196 0.378
0.196 0.375
0.196 0.376
0.197 0.375
0.198 0.374
0.198 0.374
0.198 0.374
0.198 0.375
0.198 0.374
0.198 0.374
0.198 0.374
0.198 0.374
0.197 0.374
0.197 0.374
0.197 0.374
0.197 0.374
0.197 0.374
0.197 0.374
0.197 0.373
0.197 0.373
0.197 0.373
0.196 0.373
0.196 0.373
0.196 0.373
0.196 0.373
0.197 0.373
0.197 0.373
0.197 0.373
0.197 0.373
0.197 0.373
0.197 0.373
0.197 0.373
0.197 0.373
0.197 0.373
0.197 0.373
0.197 0.373
0.197 0.373
0.197 0.373
0.197 0.373
0.197 0.373
0.197 0.373
0.197 0.373
0.197 0.373
0.197 0.373
0.197 0.373
0.197 0.373
0.197 0.373
0.197 0.373
