beta  ances 
0.226 0.265
0.224 0.261
0.226 0.259
0.227 0.260
0.226 0.261
0.227 0.261
0.226 0.260
0.226 0.261
0.226 0.261
0.226 0.261
0.226 0.261
0.226 0.261
0.226 0.261
0.226 0.261
0.226 0.261
0.226 0.261
0.226 0.261
0.226 0.261
0.225 0.261
0.225 0.261
0.225 0.261
0.225 0.261
0.225 0.261
0.225 0.261
0.225 0.261
0.225 0.261
0.225 0.261
0.225 0.261
0.225 0.261
0.225 0.261
0.225 0.261
0.225 0.261
0.225 0.261
0.225 0.261
0.225 0.261
0.225 0.261
0.225 0.261
0.225 0.261
0.225 0.261
0.225 0.261
0.225 0.261
0.225 0.261
0.225 0.261
0.224 0.261
0.224 0.261
0.224 0.261
0.225 0.261
0.225 0.261
0.224 0.261
