beta  ances 
0.217 0.375
0.217 0.370
0.218 0.370
0.219 0.370
0.219 0.370
0.217 0.369
0.218 0.369
0.218 0.370
0.219 0.370
0.219 0.370
0.219 0.371
0.219 0.371
0.219 0.370
0.219 0.370
0.219 0.370
0.219 0.370
0.219 0.370
0.219 0.370
0.219 0.370
0.219 0.370
0.219 0.370
0.219 0.370
0.219 0.370
0.219 0.369
0.220 0.369
0.220 0.369
0.220 0.369
0.220 0.369
0.220 0.369
0.220 0.369
0.220 0.369
0.220 0.369
0.220 0.369
0.220 0.369
0.220 0.369
0.220 0.369
0.220 0.369
0.219 0.369
0.219 0.369
0.219 0.369
0.219 0.369
0.219 0.369
0.219 0.369
0.220 0.369
0.220 0.369
0.220 0.369
0.220 0.369
0.220 0.369
0.220 0.369
