beta  ances 
0.225 0.332
0.227 0.326
0.227 0.326
0.226 0.326
0.225 0.326
0.225 0.327
0.226 0.327
0.226 0.327
0.227 0.326
0.227 0.326
0.227 0.327
0.227 0.327
0.227 0.326
0.226 0.327
0.226 0.327
0.226 0.327
0.226 0.327
0.226 0.327
0.226 0.327
0.226 0.327
0.226 0.327
0.226 0.327
0.226 0.327
0.226 0.327
0.226 0.327
0.227 0.326
0.227 0.326
0.227 0.326
0.227 0.326
0.227 0.326
0.227 0.326
0.227 0.326
0.227 0.326
0.227 0.326
0.227 0.326
0.227 0.326
0.227 0.326
0.227 0.326
0.227 0.326
0.227 0.326
0.227 0.326
0.227 0.326
0.227 0.326
0.227 0.326
0.227 0.326
0.227 0.326
0.227 0.326
0.227 0.326
0.227 0.326
