"ID","Indiv","Nsnps","DP","NNA","Ho","f.hom.ref","f.hom.alt","Batch","Merged","Dup","Species","Region","Location","Band_no","Plate_ID","Sent","Plate","Well","date","Month","Day","Year","JD"
"ALFL_AB007","ALFL_AB007_seq2",7756,3.65729757607014,0.624824650510327,0.0214027849406911,0.885765858690046,0.0928313563692625,2,0,2,"ALFL","AB","Fort McMurray, AB","2680-76242","20240711Plate_4/5h","20240711","Plate_4","5h","2014-06-10",6,10,2014,161
"ALFL_AB009","ALFL_AB009_seq2",7174,3.44647337608029,0.652977313403957,0.0104544187343184,0.913716197379426,0.0758293838862559,2,0,2,"ALFL","AB","Fort McMurray, AB","2680-76251","20240711Plate_4/6b","20240711","Plate_4","6b","2014-06-13",6,13,2014,164
"ALFL_AB010","ALFL_AB010_merged",6972,3.37248995983936,0.662748512552605,0.0205106138841079,0.886833046471601,0.0926563396442915,1,1,1,"ALFL","AB","Fort McMurray, AB","2630-89301","Merged","Merged","Merged","Merged",NA,NA,NA,NA,NA
"ALFL_AB011","ALFL_AB011_seq2",16305,5.77086783195339,0.21129008852126,0.0411530205458448,0.889236430542778,0.0696105489113769,2,0,1,"ALFL","AB","Fort McMurray, AB","2680-75703","20240711Plate_4/6e","20240711","Plate_4","6e",NA,NA,NA,NA,NA
"ALFL_AB012","ALFL_AB012_seq2",13223,4.65892762610603,0.360373433947661,0.0314603342660516,0.889510701051199,0.0790289646827498,2,0,1,"ALFL","AB","Fort McMurray, AB","2630-89292","20240711Plate_4/6f","20240711","Plate_4","6f",NA,NA,NA,NA,NA
"ALFL_AB013","ALFL_AB013_seq2",10603,4.02970857304536,0.487108789242006,0.0237668584362916,0.895972837876073,0.0802603036876356,2,0,1,"ALFL","AB","Fort McMurray, AB","2670-63154","20240711Plate_4/6g","20240711","Plate_4","6g",NA,NA,NA,NA,NA
"ALFL_AB014","ALFL_AB014_seq2",7258,3.55015155690273,0.648914042470856,0.012675668228162,0.910443648387986,0.0768806833838523,2,0,1,"ALFL","AB","Fort McMurray, AB","2680-75768","20240711Plate_4/6h","20240711","Plate_4","6h",NA,NA,NA,NA,NA
"ALFL_AB016","ALFL_AB016_seq2",6280,3.45191082802548,0.696222125477676,0.0136942675159236,0.908757961783439,0.0775477707006369,2,0,1,"ALFL","AB","Fort McMurray, AB","2690-73412","20240711Plate_4/7b","20240711","Plate_4","7b",NA,NA,NA,NA,NA
"ALFL_GU001","ALFL_GU001_seq2",14860,7.26453566621803,0.281188023025202,0.018371467025572,0.72328398384926,0.258344549125168,2,0,1,"ALFL","GU","San Felipe Retalhuleu, 5 km S; Finca El Nino [14°36.0'N/91°36.7'W], Departamento de Retalhuleu, Guatemala","UWBM:104175","20240711Plate_4/8a","20240711","Plate_4","8a","2002-01-10",1,10,2002,10
"ALFL_GU002","ALFL_GU002_seq2",2223,3.66621682411156,0.892468437091859,0.00584795321637427,0.769680611785875,0.224471434997751,2,0,1,"ALFL","GU","Departa, Guatemala","UWBM:104164","20240711Plate_4/8b","20240711","Plate_4","8b","2002-01-10",1,10,2002,10
